Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1647.91769495,OUT049
FDW14,1414.67338783,OUT017
NCN55,581.471683076,OUT010
FDQ58,2594.26271527,OUT017
FDY38,6149.90996653,OUT027
FDH56,1927.91073321,OUT046
FDL48,730.006498339,OUT018
FDC48,2409.80836116,OUT027
FDN33,1770.27660395,OUT045
FDA36,2854.62138421,OUT017
FDT44,1923.88876474,OUT017
FDQ56,1413.60837133,OUT045
NCC54,581.606171035,OUT019
FDU11,2105.16185818,OUT049
DRL59,763.008119598,OUT013
FDM24,2338.61960023,OUT049
FDI57,3109.19137363,OUT045
DRC12,2914.9539199,OUT018
NCM42,3143.00574447,OUT027
FDA46,490.28432975,OUT010
FDA31,2802.72574255,OUT013
NCJ31,3775.58233832,OUT035
FDG52,795.863475008,OUT046
NCL19,283.091027029,OUT019
FDS10,3266.86703858,OUT035
FDX22,579.223236296,OUT010
NCF19,786.674243804,OUT035
NCE06,2516.91490237,OUT046
DRC27,3717.30468501,OUT046
FDE21,1934.37323663,OUT035
NCR42,104.187824192,OUT019
FDX51,2922.69678912,OUT018
NCR06,539.956778363,OUT018
FDU31,5483.80665764,OUT027
FDU59,2514.56296985,OUT017
FDR03,5483.26670949,OUT027
FDS49,2385.43915618,OUT027
FDD48,277.047197422,OUT010
NCF18,2966.60665712,OUT017
NCD43,2619.16164774,OUT027
NCD54,1860.62672863,OUT018
FDY19,277.183499143,OUT010
NCY54,2807.64841786,OUT017
NCL19,2295.01187037,OUT018
FDP23,580.498037185,OUT010
FDC26,1678.60253639,OUT013
FDR14,155.45799426,OUT010
NCS41,3302.35639673,OUT035
FDF41,3781.59171864,OUT035
FDU34,2003.27000144,OUT046
DRH11,943.739122214,OUT046
FDM03,1517.56431083,OUT013
FDS31,3285.58848586,OUT017
FDJ20,2099.19583126,OUT017
FDV44,5281.31518284,OUT027
FDG02,2859.86806669,OUT049
FDA09,3181.10316825,OUT013
FDT04,566.683439978,OUT013
FDL58,580.884603896,OUT019
FDE52,1420.11251368,OUT045
FDW12,2345.95625761,OUT035
FDL51,3654.11789451,OUT017
NCY42,3175.45306562,OUT027
FDR07,1563.36948368,OUT017
FDN40,2339.88190587,OUT045
FDB35,2570.50919239,OUT027
FDA22,2360.16472422,OUT017
NCL06,4066.31262993,OUT046
FDI35,3287.65572025,OUT013
NCW42,4162.42593129,OUT045
NCX06,2843.48576724,OUT049
FDC37,2627.81828836,OUT027
FDZ14,1811.82238606,OUT018
DRG49,3580.34173034,OUT049
NCG06,4047.89595106,OUT045
DRC36,3144.38206678,OUT045
FDV21,281.171898512,OUT019
FDB53,2887.38139848,OUT046
DRP47,580.978935535,OUT019
FDA14,2874.60093063,OUT013
DRC24,2610.56675131,OUT035
FDW21,1443.53749942,OUT018
NCH29,1640.45824966,OUT046
FDU58,2952.60122128,OUT013
FDY27,2654.79697893,OUT017
FDV56,1675.48287551,OUT035
FDT59,3907.24058424,OUT046
FDB23,3888.61370344,OUT046
FDR49,786.332819429,OUT045
FDB03,581.656590527,OUT010
FDN39,2502.47861654,OUT045
FDX02,5483.83818913,OUT027
FDQ16,2626.65321249,OUT027
FDU35,1425.88786049,OUT018
NCT29,1993.44929437,OUT013
FDZ27,795.97525952,OUT046
FDN57,2225.82729228,OUT017
FDA03,2291.71138681,OUT018
FDZ36,3302.47243103,OUT045
NCU05,1320.0734661,OUT013
FDT39,2281.79380285,OUT018
FDK60,1485.6739716,OUT017
FDZ25,2974.42487514,OUT017
FDG12,2195.17424181,OUT046
DRB01,488.31921938,OUT019
NCC43,6149.77193526,OUT027
FDX13,580.372136767,OUT019
FDM22,815.873006748,OUT049
FDJ03,1289.46381252,OUT027
FDU14,3466.86006304,OUT018
FDB33,357.371568931,OUT010
FDP27,3309.20929349,OUT046
FDO38,163.109047912,OUT010
FDE28,6149.77193526,OUT027
FDO27,1770.21364761,OUT035
DRL23,2625.53924191,OUT027
FDS28,943.574420609,OUT046
FDX24,1443.42811233,OUT013
FDZ02,1639.43412075,OUT035
FDL46,1854.61881481,OUT045
FDS60,5158.77540648,OUT027
NCO06,586.050605253,OUT017
FDO16,1412.23430306,OUT035
FDC60,1429.96993445,OUT049
FDA48,3364.54203799,OUT018
FDZ36,5278.90030786,OUT027
FDK27,1893.01212682,OUT045
FDW23,536.224133991,OUT018
FDM14,1469.93490201,OUT018
FDM14,1649.72300363,OUT013
FDW60,3134.37303186,OUT018
FDE21,1937.38018976,OUT013
NCM42,1675.69761441,OUT035
FDY59,222.324807406,OUT010
DRI49,1235.35626526,OUT049
FDT28,352.518052947,OUT019
FDQ22,536.758068821,OUT018
FDR60,1223.45331709,OUT049
FDC50,224.706652127,OUT019
FDV24,2476.15175053,OUT013
DRF48,485.393260126,OUT010
FDQ47,597.970794934,OUT046
DRN36,1561.94808507,OUT049
NCY06,1995.60349631,OUT035
FDE52,1419.91634986,OUT035
NCB54,1882.53952256,OUT045
NCF31,2346.7814054,OUT035
FDJ08,5288.25682761,OUT027
NCC07,1671.86091188,OUT017
NCD19,1342.8343752,OUT027
FDL46,1982.56766135,OUT049
FDM20,4244.12317408,OUT045
NCI06,433.230393044,OUT010
DRM11,4368.76494577,OUT035
NCH07,2311.36648648,OUT018
FDS23,2108.64236032,OUT013
FDO49,729.759247294,OUT018
FDS35,1090.54974312,OUT049
DRK39,1407.08443016,OUT045
DRI39,825.609636184,OUT049
FDV04,2508.71796411,OUT017
NCN14,3287.46235055,OUT035
FDH08,3672.57281055,OUT013
FDS20,3310.92068947,OUT046
FDV40,1115.04129882,OUT049
FDZ48,274.300848465,OUT010
FDS24,2531.03617664,OUT027
FDK44,2644.66960786,OUT049
FDS48,2892.773574,OUT045
FDK26,485.864977255,OUT010
FDD23,3303.06017279,OUT045
NCH54,2626.92170552,OUT017
NCP14,226.174568281,OUT010
FDM60,104.187824192,OUT010
FDV24,2486.18626112,OUT017
FDH08,3386.47576234,OUT018
FDS12,3168.08615986,OUT027
FDR39,5178.7193666,OUT027
FDP12,1263.63277573,OUT027
DRF60,6149.94149802,OUT027
FDC09,1671.35243848,OUT035
FDF50,2929.58317891,OUT018
FDG28,4243.99340008,OUT035
NCE19,915.764015384,OUT017
NCM53,272.179542384,OUT010
NCN18,1833.76753483,OUT049
FDF32,3130.48134269,OUT035
FDF11,3944.66899924,OUT013
DRI59,4179.3443411,OUT049
NCG54,2690.10205738,OUT035
FDM44,1591.91448498,OUT046
FDT57,3410.2661521,OUT018
FDV24,2489.12195844,OUT046
FDI50,580.841309365,OUT019
FDS09,731.748181277,OUT035
NCC31,4115.13541595,OUT027
FDQ07,581.448108132,OUT019
FDC22,3310.38352535,OUT017
FDZ56,2688.65764101,OUT046
FDZ40,155.45799426,OUT019
FDS46,3149.10718087,OUT027
DRD24,1898.95050298,OUT045
FDV45,2980.89890611,OUT017
FDL26,2894.51280892,OUT045
FDA56,1825.54030398,OUT018
FDN27,1937.18307536,OUT046
FDM20,4230.42678937,OUT049
FDO16,1406.36244896,OUT017
FDL03,3095.46326602,OUT035
FDE58,1932.13204698,OUT046
FDI02,3146.17728238,OUT027
NCC55,104.187824192,OUT019
FDR03,3303.72468058,OUT018
FDB14,1335.02267842,OUT017
FDR45,3948.20689637,OUT013
NCN07,2182.48450819,OUT017
FDM51,228.411104628,OUT019
FDT52,6149.90996653,OUT027
FDL26,2889.18863468,OUT046
NCZ42,3935.44381519,OUT046
DRI47,353.144555164,OUT019
FDW40,2237.83157941,OUT013
FDN34,2974.24989918,OUT046
FDS01,2828.67284509,OUT035
NCG55,1859.12944691,OUT045
FDC11,1308.25126386,OUT035
FDX35,3376.63150912,OUT018
NCB06,2627.04901992,OUT046
FDR09,581.136998438,OUT019
FDC53,1563.39796912,OUT017
FDY45,4332.57067946,OUT013
FDA22,413.747666243,OUT010
FDE02,1555.5839263,OUT035
FDW21,1512.41609953,OUT045
FDV34,1126.93921339,OUT046
FDS59,1811.87101232,OUT049
NCW17,2190.00855631,OUT017
NCK54,1936.32931793,OUT046
FDG17,580.841309365,OUT019
FDG35,3144.89243467,OUT017
FDD08,104.187824192,OUT010
NCO07,3650.58753815,OUT017
FDJ10,280.437893266,OUT010
FDW36,1595.02899987,OUT017
FDW21,225.67718239,OUT010
FDY19,1925.03678301,OUT017
DRE03,807.041269636,OUT013
NCC55,665.30550907,OUT049
FDH52,156.437724535,OUT010
FDO09,4048.99354655,OUT017
FDU43,4227.8982488,OUT045
FDX09,424.752717861,OUT010
FDH40,214.122817777,OUT019
FDW58,1594.49324777,OUT017
FDC47,3748.31490893,OUT017
NCR41,1472.54202741,OUT035
DRG49,3794.10449197,OUT035
FDC52,4105.95947155,OUT027
FDY13,1128.62466215,OUT046
FDY35,573.061449566,OUT013
FDI35,3302.57230389,OUT017
NCU18,2244.3564178,OUT049
FDY33,2312.84522821,OUT018
FDC15,4137.00815035,OUT027
FDU01,2844.25961405,OUT049
NCU42,2693.66009568,OUT046
NCV29,3134.79789116,OUT018
NCY30,3279.9100688,OUT017
FDQ46,1678.99227305,OUT049
FDG58,4114.87910388,OUT027
FDK33,3648.11996342,OUT017
NCD07,1852.36947988,OUT045
NCX29,4093.07636674,OUT027
NCT42,2581.04666,OUT013
DRN59,784.936576986,OUT035
FDI44,1283.05744833,OUT035
FDA45,2643.79629783,OUT049
FDP31,1090.36151292,OUT045
FDY01,1928.51401642,OUT046
FDT09,1835.23029746,OUT018
DRH03,2611.8196928,OUT027
FDA36,2828.29904091,OUT018
NCF31,2339.57119439,OUT017
FDG14,2341.25934706,OUT049
FDG28,6149.77193526,OUT027
FDU14,4331.51144373,OUT049
FDY47,282.29694562,OUT019
FDI56,1435.44720356,OUT049
DRD01,866.036549343,OUT013
FDM22,942.3479782,OUT046
FDH33,569.775785886,OUT013
DRZ24,1926.38755722,OUT013
NCQ38,1671.60386474,OUT046
FDO16,2469.34486789,OUT027
FDU07,4100.27020267,OUT027
NCB07,2928.17940973,OUT013
FDU48,1885.83577534,OUT045
NCM43,2645.7995538,OUT045
FDR31,352.894120562,OUT010
DRK49,538.154059467,OUT018
NCI30,581.660643192,OUT010
DRD60,3286.22133897,OUT017
NCG19,3553.13359594,OUT046
FDH12,1595.37075966,OUT035
FDM32,1332.91399554,OUT035
FDM27,2900.79226674,OUT035
NCU53,4157.42079521,OUT027
NCQ18,1785.59871683,OUT046
FDS10,2660.74277714,OUT013
FDB33,4137.00815035,OUT027
FDI12,1431.56277316,OUT013
NCW42,4133.35179579,OUT013
NCC06,1829.83976479,OUT018
FDW02,1995.76049064,OUT017
NCD43,1671.53686715,OUT017
FDM57,1245.12477475,OUT018
FDA58,3784.35641014,OUT017
FDK56,3307.45946006,OUT046
FDP52,4196.11733776,OUT045
FDW20,1827.84328048,OUT018
FDS52,1583.98445598,OUT049
NCT29,1807.20177803,OUT018
NCL54,2647.91812017,OUT013
FDC05,3114.21777816,OUT045
FDF34,2847.29932989,OUT035
FDP03,3166.13183443,OUT027
FDD32,211.902876404,OUT010
FDZ10,1885.30008913,OUT045
FDZ40,914.815905338,OUT035
FDD51,541.627005235,OUT018
NCY30,426.63493856,OUT019
FDP58,3732.43526338,OUT017
FDV49,4358.73552808,OUT017
FDY24,155.45799426,OUT019
NCO55,1811.18495979,OUT017
FDR13,1924.99459756,OUT017
FDS51,954.628369386,OUT017
FDP26,1517.05268587,OUT045
NCB54,3169.76581142,OUT027
FDF32,3109.68687072,OUT017
FDN31,2933.53212459,OUT018
DRM48,586.050605253,OUT017
FDN20,2549.84879823,OUT049
DRL01,3544.92240181,OUT046
FDV56,1671.46432403,OUT049
DRH13,2626.65321249,OUT027
FDA03,2466.93166112,OUT017
FDF47,5483.83818913,OUT027
FDX32,2892.22952458,OUT046
FDX57,1774.80643091,OUT049
NCA30,2963.19514832,OUT045
FDO49,747.966838451,OUT013
FDL04,228.870602861,OUT019
DRM48,587.203937222,OUT035
FDR16,3493.63441941,OUT013
NCC19,2935.48119499,OUT018
NCE42,3949.92522233,OUT045
FDY24,915.514872526,OUT017
FDH19,2804.11390957,OUT049
FDJ46,2639.47617209,OUT013
FDN45,581.18741793,OUT010
FDY08,2106.37118027,OUT035
FDZ37,1414.35138282,OUT035
NCT30,787.766422282,OUT045
DRY23,539.276858657,OUT018
NCZ30,1825.26377477,OUT018
FDC44,1782.7478594,OUT018
FDB45,1594.76250064,OUT035
FDY04,2619.53946617,OUT013
FDM27,2910.54895272,OUT046
FDZ43,4216.7343264,OUT017
FDT39,353.613015056,OUT019
NCC06,281.349009007,OUT019
FDL15,4114.87910388,OUT027
FDL57,4056.58637749,OUT017
FDU08,1568.57941814,OUT046
FDK40,4364.03144953,OUT017
FDQ12,580.607364503,OUT010
FDS48,2887.11926539,OUT017
FDP09,3643.86521596,OUT045
FDW21,1490.48950883,OUT049
FDY25,3287.72742679,OUT035
DRE13,1429.02035904,OUT017
FDV43,104.187824192,OUT019
FDD22,1679.08337906,OUT045
FDM46,224.115676528,OUT019
NCO30,482.041336169,OUT010
FDM25,2808.0196781,OUT046
NCN41,2000.49067758,OUT049
FDU24,1442.34794887,OUT045
FDZ50,3310.15039537,OUT046
FDP45,4032.20357109,OUT013
NCM54,1883.19054038,OUT045
FDW10,423.862106248,OUT019
FDP20,1996.49292673,OUT017
FDK32,2891.63058536,OUT046
FDN52,1252.05430602,OUT049
FDM58,1834.99735457,OUT045
FDZ46,3145.62272919,OUT027
NCA18,1785.56776435,OUT018
FDD35,2195.85104372,OUT046
NCK31,727.74185857,OUT035
FDI40,2618.49909759,OUT027
FDT50,225.410426426,OUT019
NCT06,2922.29999186,OUT046
FDT31,2831.91872231,OUT035
FDT45,815.847169498,OUT049
FDT13,2983.06262897,OUT045
FDO50,1316.049584,OUT045
NCU18,280.181147032,OUT010
NCR54,3120.01349223,OUT049
NCO18,2796.82847726,OUT018
FDU09,916.212695926,OUT045
FDT13,2927.90552549,OUT018
FDE09,1686.56622501,OUT046
NCK53,228.411104628,OUT019
FDG45,3497.86365005,OUT049
DRH15,675.354683556,OUT035
FDO21,580.841309365,OUT019
FDD14,5277.70003823,OUT027
FDC09,1671.19335681,OUT046
FDH45,1268.07032868,OUT027
FDV32,1112.33056131,OUT046
FDG12,2168.25645712,OUT035
FDS32,2235.50875308,OUT013
NCL55,3466.1671375,OUT018
DRE01,3781.17540571,OUT035
DRE15,1222.67971825,OUT049
NCL42,4222.47479627,OUT045
FDP31,1140.96459429,OUT013
FDN33,1274.02417605,OUT018
FDZ59,2520.14372325,OUT046
FDE45,426.272792563,OUT010
FDJ07,1941.90327137,OUT013
FDQ45,2829.93212324,OUT018
FDM33,5483.83818913,OUT027
FDO15,160.847236077,OUT010
FDM46,1459.89272331,OUT013
FDR03,3800.58405045,OUT045
FDY49,2354.26488746,OUT018
FDQ60,1860.08711877,OUT045
FDW10,3138.96831036,OUT049
FDO51,679.397767251,OUT049
FDJ40,1450.03097489,OUT018
FDS20,3281.16013602,OUT018
FDU45,1893.66645444,OUT013
FDV02,2685.98225122,OUT035
FDN09,3956.7274137,OUT046
NCM55,5280.1562706,OUT027
FDN23,2278.8504193,OUT018
FDY31,353.393386283,OUT010
FDW03,226.176337911,OUT010
FDD14,3287.63892897,OUT046
FDV23,2100.2419722,OUT017
DRI03,2648.12081726,OUT045
FDN13,1571.93503322,OUT035
FDF45,1362.64321798,OUT027
FDU46,1414.69568252,OUT035
FDB57,3657.96709719,OUT049
FDV12,1784.88899971,OUT049
FDQ58,2581.0587381,OUT013
NCA18,1917.95358529,OUT017
FDH52,854.415341411,OUT049
FDM24,2278.80905286,OUT018
NCP43,5179.59320446,OUT027
NCO18,425.894004945,OUT019
FDM32,1318.29580396,OUT017
NCL07,588.134416961,OUT017
FDK03,4036.94027842,OUT013
FDP59,1808.45920334,OUT017
FDQ24,4318.24496945,OUT049
FDQ16,1449.98284407,OUT018
FDU44,2610.8362503,OUT013
FDH28,104.187824192,OUT010
FDV28,104.187824192,OUT019
FDM22,914.698654174,OUT045
FDR56,3120.35372763,OUT046
FDV39,2853.17607096,OUT049
FDU37,167.022863679,OUT019
FDQ11,581.04979176,OUT010
FDX02,4173.29374467,OUT045
NCS42,1273.11132372,OUT018
FDY57,2611.7636807,OUT027
FDB21,3576.31703341,OUT049
FDE28,3776.33480209,OUT017
FDQ55,1930.22922983,OUT017
FDA48,3520.57974965,OUT049
FDZ19,2804.82232983,OUT045
NCC43,4017.94766469,OUT045
NCV18,1429.09296352,OUT046
NCA42,2304.28747435,OUT018
FDY45,4349.27283987,OUT046
NCC30,2829.9031237,OUT045
FDM57,1446.98933427,OUT013
FDL09,414.547510079,OUT010
FDB09,3166.13183443,OUT027
FDT44,2081.88238466,OUT035
NCT06,4156.98957657,OUT027
FDX26,3309.05284798,OUT049
FDK32,2879.99992027,OUT013
DRA12,2254.69253905,OUT046
FDO46,484.910382491,OUT010
FDE52,1430.83714433,OUT013
NCH42,3697.81606903,OUT045
FDV08,659.281253456,OUT035
FDB47,3346.07773825,OUT018
FDC28,274.360847443,OUT010
FDD22,1925.26435076,OUT046
FDS07,3146.78014921,OUT027
DRI13,3868.69351576,OUT045
FDG32,3365.09331554,OUT018
FDU14,4338.13524346,OUT017
FDD28,155.590961124,OUT019
NCP41,1675.57276622,OUT017
FDS08,2810.47155964,OUT049
FDX47,2361.76414408,OUT045
FDC53,227.99456083,OUT019
FDQ19,3963.69779891,OUT035
FDL14,2346.37516031,OUT045
FDM33,580.978935535,OUT019
FDA51,1848.77676142,OUT045
FDZ27,729.705106219,OUT018
FDT04,670.231120054,OUT046
DRC13,2185.29012111,OUT049
FDR16,5483.66862637,OUT027
FDQ03,6149.77193526,OUT027
FDE38,2411.83253255,OUT035
DRH23,1346.08067231,OUT027
FDT11,485.724660431,OUT019
FDD09,2686.08805554,OUT035
FDR40,1406.18038666,OUT045
FDX07,3280.49628323,OUT017
FDR07,1563.65863156,OUT035
FDA51,1915.04175894,OUT017
FDT59,580.854479213,OUT019
FDF20,3113.98233957,OUT017
FDR13,1856.30023322,OUT045
FDY26,3848.02232653,OUT049
FDW04,1995.91812944,OUT017
FDK52,3770.16699653,OUT017
FDN60,2617.53071634,OUT049
FDM09,421.027755176,OUT019
FDP46,1251.44730366,OUT049
FDB50,166.868402958,OUT019
NCQ29,4032.59015456,OUT049
FDP16,6150.07952929,OUT027
FDX33,2306.10957447,OUT018
FDP07,490.529488107,OUT010
FDN22,4023.09511249,OUT046
FDF39,4061.11003839,OUT049
FDS21,945.712043968,OUT017
NCM42,1672.48945706,OUT013
FDK50,412.858421213,OUT019
DRF13,4099.30636412,OUT027
FDH35,2313.1075232,OUT018
FDP60,1425.69119136,OUT018
DRJ49,3169.82182353,OUT027
NCT42,352.649567549,OUT019
FDE38,2405.64392745,OUT049
FDI04,3124.59526635,OUT049
NCH54,2625.16857189,OUT045
FDT56,831.528958775,OUT049
DRD15,3385.16238537,OUT018
FDV58,2936.30119285,OUT013
FDP21,3311.42970651,OUT049
FDH05,3527.58235948,OUT013
FDR10,4152.50544894,OUT027
NCP06,2471.98606902,OUT045
FDF33,1648.07994785,OUT049
DRK37,2956.75107095,OUT013
DRH49,1299.3507135,OUT045
FDT58,2392.56577098,OUT013
FDD41,1447.96904114,OUT018
FDP40,1469.44618032,OUT018
FDM51,2618.55510969,OUT027
FDO45,213.410718213,OUT010
FDW33,226.204039288,OUT010
FDY24,915.642902038,OUT045
FDB10,580.486233393,OUT010
FDM40,2235.06663737,OUT035
NCI06,3283.91922923,OUT017
FDW12,344.133776873,OUT019
FDX48,4116.37226055,OUT027
NCW05,2625.4832298,OUT027
FDX27,1476.96862583,OUT017
DRM37,3117.290232,OUT045
FDA38,3727.17157639,OUT045
FDR36,669.198232403,OUT046
FDZ45,3131.38539967,OUT046
FDG05,2358.83654608,OUT017
FDK28,4360.20068676,OUT013
FDV47,1305.74091429,OUT045
FDN21,2492.47476112,OUT045
FDP20,3168.14217196,OUT027
FDI35,3299.015725,OUT045
DRY23,570.773692737,OUT013
FDA56,2183.21611456,OUT017
FDB09,1992.89258767,OUT013
NCO26,3148.90842606,OUT027
